,index,state_code,alimentary_poverty,extreme_poverty,median_income,lack_basic_services,lack_health_services,state_name,year
73,9,10,0.187020098024372,0.14031630812356435,12215.59912204654,0.05915312306687373,0.22898326750790554,DURANGO,2020
74,10,11,0.22768421669019967,0.11849560718420532,12539.538660162863,0.104612944558556,0.24848804640803446,GUANAJUATO,2020
75,11,12,0.33343945787127477,0.348493218894926,7825.4976478239105,0.5628595401931935,0.33478151645876375,GUERRERO,2020
76,12,13,0.25310641394423933,0.16879523421459605,10071.412315141302,0.20521105907275797,0.26926293313204464,HIDALGO,2020
77,13,14,0.14284972951615918,0.07406331541957711,14572.379281327909,0.053831097881544936,0.3208834139311197,JALISCO,2020
78,14,15,0.214201740182309,0.1945491735729536,11120.674315457489,0.09875219894087824,0.34222853527775965,MEXICO,2020
79,15,16,0.21447834091731163,0.144921501965632,11995.128942112487,0.16915866444661296,0.3865509301655153,MICHOACAN,2020
80,16,17,0.23135683752573918,0.20076940477401392,10560.554695564417,0.17929752595172344,0.3177240921767566,MORELOS,2020
81,17,18,0.19796738317741916,0.09725620144335657,13776.188418423724,0.11792148902464429,0.2472834117344986,NAYARIT,2020
82,18,19,0.14097115625955098,0.07342612686601568,16526.867960023483,0.023407259682450787,0.21524758696405674,NUEVO LEON,2020
83,19,20,0.2844009421602306,0.2871937811281927,8468.672719114462,0.536890477712478,0.36925871109485814,OAXACA,2020
84,20,21,0.27339382413094726,0.2621875967351934,9342.841328833329,0.2618667245423911,0.32006940860960764,PUEBLA,2020
85,21,22,0.16965945047880646,0.0837886238593386,14921.433898591016,0.09968357865032519,0.20881179191330557,QUERETARO,2020
86,22,23,0.27252984152762244,0.2311763201289858,10710.340213750584,0.21367315477605361,0.2481971713098047,QUINTANA ROO,2020
87,23,24,0.177764177584175,0.17804406392138053,11948.136408878636,0.2501336783735392,0.19764104877257666,SAN LUIS POTOSI,2020
88,24,25,0.21996827051978884,0.065549713573393,14620.759747109114,0.1166791476301839,0.19571520523240563,SINALOA,2020
89,25,26,0.22094464169608535,0.10089001608405772,14579.906540732118,0.10117166460361099,0.2007038169967612,SONORA,2020
90,26,27,0.40855836240539506,0.2244974410514621,9249.20796968158,0.4296049069556046,0.26994257888366596,TABASCO,2020
91,27,28,0.13900123946686785,0.12657513811262922,12700.24400923848,0.0807876405585728,0.19552738508171222,TAMAULIPAS,2020
92,28,29,0.27171404275996114,0.2770953329066818,9493.956091466567,0.07698392946028586,0.27562131124226696,TLAXCALA,2020
93,29,30,0.23149149388754264,0.24406681999220212,8687.181785705012,0.3775151886052147,0.3095593206954925,VERACRUZ,2020
